Last dividend payment,Dividend cycle,Value,ISIN
2023-05-16,Jährlich,0.7 €,DE000A1EWWW0
2022-05-17,Jährlich,3.3 €,DE000A1EWWW0
2021-05-18,Jährlich,3.0 €,DE000A1EWWW0
2020-08-11,Jährlich,0.0 €,DE000A1EWWW0
2019-05-14,Jährlich,3.35 €,DE000A1EWWW0
2018-05-15,Jährlich,2.6 €,DE000A1EWWW0
2017-05-16,Jährlich,2.0 €,DE000A1EWWW0
2016-05-13,Jährlich,1.6 €,DE0005003404
2015-05-08,Jährlich,1.5 €,DE000A1EWWW0
2014-05-09,Jährlich,1.5 €,DE000A1EWWW0
2013-05-09,Jährlich,1.35 €,DE000A1EWWW0
2012-05-11,Jährlich,1.0 €,DE000A1EWWW0
2011-05-13,Jährlich,0.8 €,DE000A1EWWW0
2010-05-07,Jährlich,0.35 €,DE0005003404
2009-05-08,Jährlich,0.5 €,DE0005003404
2008-05-09,Jährlich,0.5 €,DE0005003404
2007-05-11,Jährlich,0.42 €,DE0005003404
2006-05-12,Jährlich,0.33 €,DE0005003404
2005-05-05,Jährlich,0.33 €,DE0005003404
2004-05-14,Jährlich,0.25 €,DE0005003404
2003-05-09,Jährlich,0.25 €,DE0005003404
2002-05-09,Jährlich,0.23 €,DE0005003404
2001-05-11,Jährlich,0.23 €,DE0005003404
2000-05-12,Jährlich,0.23 €,DE0005003404
